Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
8286.16,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8306.3,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8326.45,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8346.59,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8366.82,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8387.05,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8407.23,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8427.37,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8447.53,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8467.72,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8487.87,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8508.05,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8528.2,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8548.39,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8569.77,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8589.97,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8610.17,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8630.36,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8650.51,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8670.66,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8690.82,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8711.01,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8731.15,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8751.29,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8771.44,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8791.63,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8811.78,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8831.97,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8852.11,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8872.25,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8892.39,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8912.58,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8932.77,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8952.95,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8973.1,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
8993.24,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
9013.39,765,12182,1336,12149,10326,851,0,3287,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
